FBgn0000008	arc	A0A0B4LG21
FBgn0000008	arc	Q9W283
FBgn0000014	abdominal A	E1JIM9
FBgn0000014	abdominal A	P29555
FBgn0000014	abdominal A	P29555-2
FBgn0000015	Abdominal B	A0A0B4KGT1
FBgn0000015	Abdominal B	A4V304
FBgn0000015	Abdominal B	P09087
FBgn0000015	Abdominal B	P09087-2
FBgn0000015	Abdominal B	Q86P38
FBgn0000015	Abdominal B	Q9VEQ7
FBgn0000015	Abdominal B	V9H1H6
FBgn0000015	Abdominal B	""
FBgn0000017	Abl tyrosine kinase	A8JNU2
FBgn0000017	Abl tyrosine kinase	M9PCT8
FBgn0000017	Abl tyrosine kinase	M9PCU1
FBgn0000017	Abl tyrosine kinase	M9PFI5
FBgn0000017	Abl tyrosine kinase	M9PFI8
FBgn0000017	Abl tyrosine kinase	M9PFS1
FBgn0000017	Abl tyrosine kinase	M9PFX0
FBgn0000017	Abl tyrosine kinase	M9PI83
FBgn0000017	Abl tyrosine kinase	P00522
FBgn0000018	abnormal oocyte	Q8MR99
FBgn0000018	abnormal oocyte	Q95W10
FBgn0000018	abnormal oocyte	Q9VKM4
FBgn0000022	achaete	P10083
FBgn0000024	Acetylcholine esterase	A0A0B4KGI5
FBgn0000024	Acetylcholine esterase	E1JIJ8
FBgn0000024	Acetylcholine esterase	P07140
FBgn0000024	Acetylcholine esterase	Q8T0K7
FBgn0000028	abnormal chemosensory jump 6	B7Z0Y6
FBgn0000028	abnormal chemosensory jump 6	M9NDX7
FBgn0000028	abnormal chemosensory jump 6	M9NDY0
FBgn0000028	abnormal chemosensory jump 6	M9NEH8
FBgn0000028	abnormal chemosensory jump 6	M9NF61
FBgn0000028	abnormal chemosensory jump 6	M9NF66
FBgn0000028	abnormal chemosensory jump 6	M9NGG0
FBgn0000028	abnormal chemosensory jump 6	M9NH29
FBgn0000028	abnormal chemosensory jump 6	M9NH32
FBgn0000028	abnormal chemosensory jump 6	P24350
FBgn0000028	abnormal chemosensory jump 6	P24350-1
FBgn0000028	abnormal chemosensory jump 6	P24350-3
FBgn0000028	abnormal chemosensory jump 6	P24350-4
FBgn0000028	abnormal chemosensory jump 6	""
FBgn0000028	abnormal chemosensory jump 6	""
FBgn0000028	abnormal chemosensory jump 6	""
FBgn0000032	Acid phosphatase 1	Q8I0P9
FBgn0000032	Acid phosphatase 1	Q9VAD0
FBgn0000036	nicotinic Acetylcholine Receptor alpha1	A0A0B4KGU3
FBgn0000036	nicotinic Acetylcholine Receptor alpha1	P09478
FBgn0000037	muscarinic Acetylcholine Receptor, A-type	P16395
FBgn0000037	muscarinic Acetylcholine Receptor, A-type	P16395-2
FBgn0000037	muscarinic Acetylcholine Receptor, A-type	""
FBgn0000038	nicotinic Acetylcholine Receptor beta1	E8NHB5
FBgn0000038	nicotinic Acetylcholine Receptor beta1	P04755
FBgn0000038	nicotinic Acetylcholine Receptor beta1	Q9VZC4
FBgn0000039	nicotinic Acetylcholine Receptor alpha2	P17644
FBgn0000042	Actin 5C	P10987
FBgn0000043	Actin 42A	P02572
FBgn0000044	Actin 57B	P53501
FBgn0000045	Actin 79B	P02574
FBgn0000046	Actin 87E	P10981
FBgn0000047	Actin 88F	P83967
FBgn0000052	adenosine 2	P35421
FBgn0000053	adenosine 3	P00967
FBgn0000053	adenosine 3	P00967-2
FBgn0000053	adenosine 3	Q59DZ6
FBgn0000053	adenosine 3	X2J516
FBgn0000054	Adh transcription factor 1	A0A0B4KEJ0
FBgn0000054	Adh transcription factor 1	P05552
FBgn0000054	Adh transcription factor 1	P05552-2
FBgn0000054	Adh transcription factor 1	""
